,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
0,"Colgin Cellars, Tychson Hill Vineyard Cabernet Sauvignon, Napa Valley",44622,Napa Valley,Red,,California,Usa,,2014,False,96.05,C+,5
1,"Chateau Montelena, Cabernet Sauvignon, Napa Valley",39440,Napa Valley,Red,,California,Usa,,1991,False,94.78,C+,4
2,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,2013,False,95.83,C+,8
3,"Quintessa, Rutherford",118360,Rutherford,Red,,California,Usa,,2015,False,95.77,C,3
4,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2001,False,98.89,A+,6
5,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,2001,False,96.49,B+,5
6,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,,California,Usa,,2001,False,96.2,B,3
7,"Colgin Cellars, Cariad Red, Napa Valley",44618,Napa Valley,Red,,California,Usa,,2001,False,95.6,B,5
8,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2001,False,95.19,C+,3
9,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2001,False,93.69,C,6
10,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2001,False,93.66,B+,5
11,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2001,False,93.6,B,10
12,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",11029,Napa Valley,Red,,California,Usa,,2001,False,93.25,C+,3
13,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2001,False,92.37,C,3
14,"Corison, Cabernet Sauvignon, Napa Valley",46229,Napa Valley,Red,,California,Usa,,2001,False,92.2,C+,6
15,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2001,False,91.88,B,8
16,"Viader, Red Blend, Napa Valley",139371,Napa Valley,Red,,California,Usa,,2001,False,90.58,B,3
17,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1991,False,95.9,B,8
18,"Schrader Cellars, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",125492,Napa Valley,Red,,California,Usa,,2009,False,95.09,C+,5
19,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2010,False,98.41,B,8
20,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,2010,False,97.63,B,5
21,"Bryant Family Vineyard, Cabernet Sauvignon, Napa Valley",22244,Napa Valley,Red,,California,Usa,,2010,False,97.0,A,5
22,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2010,False,96.3,C+,9
23,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2010,False,96.2,B,8
24,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2010,False,96.16,C+,8
25,"Verite, La Muse, Sonoma County",139099,Sonoma County,Red,,California,Usa,,2010,False,96.11,C+,3
26,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2010,False,95.99,B,8
27,"Morlet Family Vineyards, Coeur De Vallee Cabernet Sauvignon, Oakville",107391,Oakville,Red,,California,Usa,,2010,False,95.92,C+,3
28,"Forman Vineyard, Cabernet Sauvignon, Napa Valley",75322,Napa Valley,Red,,California,Usa,,2010,False,95.75,C+,3
29,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,,California,Usa,,2010,False,95.57,C,3
30,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2010,False,95.47,B,5
31,"Ramey Wine Cellars, Pedregal Vineyard Cabernet Sauvignon, Oakville",118768,Oakville,Red,,California,Usa,,2010,False,95.35,B,4
32,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,2010,False,95.31,B+,8
33,"Verite, Le Desir, Sonoma County",139100,Sonoma County,Red,,California,Usa,,2010,False,95.12,C+,3
34,"Ramey Wine Cellars, Annum Cabernet Sauvignon, Napa Valley",118755,Napa Valley,Red,,California,Usa,,2010,False,94.88,B+,3
35,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2010,False,94.62,B,6
