avgTempNapa,avgTempColumbia,avgTempWalla,avgTempSonoma,avgTempSanta,avgTempYakima,avgTempDundee,Year,Months
45.793103448275865,32.93103448275862,46.93103448275862,54.793103448275865,50.51724137931035,34.96551724137931,42.13793103448276,1992,January
54.60714285714286,39.875,49.92857142857143,64.25,55.51785714285714,40.089285714285715,46.60714285714286,1992,February
55.652173913043484,49.58152173913044,60.82608695652174,65.76086956521739,56.21739130434783,48.119565217391305,50.461956521739125,1992,March
61.31666666666666,53.66666666666667,65.73333333333333,74.43333333333334,61.099999999999994,50.71666666666667,48.88333333333333,1992,April
65.26666666666667,63.833333333333336,78.76666666666667,82.9,61.650000000000006,60.3,58.56666666666666,1992,May
63.66666666666667,68.13333333333333,81.0,80.06666666666666,61.5,64.7,57.83333333333333,1992,June
,,,,,,,1992,July
,,,,,,,1992,August
,,,,,,,1992,September
,,,,,,,1992,October
,,,,,,,1992,November
,,,,,,,1992,December
45.766304347826086,20.875,32.02173913043478,55.18478260869565,48.98913043478261,23.52173913043478,34.005434782608695,1993,January
49.5,28.44642857142857,35.464285714285715,58.642857142857146,51.0,28.732142857142858,37.30357142857143,1993,February
56.92696629213483,38.86516853932584,52.08988764044944,67.24719101123596,56.943820224719104,40.78651685393258,44.96629213483146,1993,March
57.32386363636364,48.56818181818182,61.01136363636363,68.8409090909091,57.53409090909091,47.82954545454545,44.75,1993,April
63.10344827586207,64.6896551724138,75.24137931034483,73.51724137931035,60.72413793103448,62.05172413793103,52.41379310344828,1993,May
66.88888888888889,64.44444444444444,74.72222222222223,82.55555555555556,63.41666666666667,62.0,51.19444444444444,1993,June
,,,,,,,1993,July
,,,,,,,1993,August
,,,,,,,1993,September
,,,,,,,1993,October
,,,,,,,1993,November
,,,,,,,1993,December
48.88068181818181,33.01704545454545,48.57954545454545,59.35227272727273,52.40909090909091,36.30681818181818,43.17613636363636,1994,January
49.35185185185185,32.851851851851855,43.96296296296296,60.370370370370374,50.25925925925926,33.925925925925924,38.888888888888886,1994,February
55.91935483870968,44.774193548387096,60.32258064516129,70.70967741935483,56.25806451612903,44.17741935483871,45.29032258064516,1994,March
58.41666666666667,51.75,67.6,71.4,56.71666666666667,52.516666666666666,47.0,1994,April
61.53225806451613,59.83870967741935,75.09677419354838,75.45161290322581,58.677419354838705,59.69354838709677,52.677419354838705,1994,May
67.15306122448979,61.94897959183673,76.59183673469387,84.89795918367346,62.63265306122449,58.80612244897959,52.826530612244895,1994,June
,,,,,,,1994,July
,,,,,,,1994,August
,,,,,,,1994,September
,,,,,,,1994,October
,,,,,,,1994,November
