,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
0,"Marcassin Estate, Chardonnay, White, Sonoma Coast",101634,Sonoma Coast,White,dry,California,Usa,,2009,False,93.08,C+,3
1,"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2016,False,94.39,B,3
2,"Stags' Leap Winery, Chardonnay, White, Napa Valley",129823,Napa Valley,White,dry,California,Usa,,2016,False,89.83,A+,3
3,"Joseph Phelps Vineyards, Freestone Chardonnay, White, Sonoma Coast",89569,Sonoma Coast,White,dry,California,Usa,,2016,False,90.73,C+,4
4,"Crossbarn By Paul Hobbs, Chardonnay, White, Sonoma Coast",47377,Sonoma Coast,White,dry,California,Usa,,2016,False,90.39,B+,3
5,"Mount Eden Vineyards, Chardonnay, White, Santa Cruz Mountains",107658,Santa Cruz Mountains,White,dry,California,Usa,,2015,False,92.22,B,4
6,"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2016,False,90.39,B+,3
7,"Ridge Vineyards Estate, Chardonnay, White, Santa Cruz Mountains",120758,Santa Cruz Mountains,White,dry,California,Usa,,2016,False,92.81,A+,3
8,"Pahlmeyer, Napa Valley Chardonnay, White, Napa Valley",111897,Napa Valley,White,dry,California,Usa,,2015,False,92.83,C+,4
9,"Marcassin, Lorenzo Vineyard Chardonnay, White, Sonoma Coast",101640,Sonoma Coast,White,dry,California,Usa,,1993,False,92.07,C,3
10,"Marcassin, Lorenzo Vineyard Chardonnay, White, Sonoma Coast",101640,Sonoma Coast,White,dry,California,Usa,,1998,False,91.74,B,4
11,"Kongsgaard, Chardonnay, White, Napa Valley",91585,Napa Valley,White,dry,California,Usa,,2016,False,95.52,A,3
12,"Peter Michael Winery, L'Apres-Midi Sauvignon Blanc, White, Knights Valley",114824,Knights Valley,White,dry,California,Usa,,2016,False,91.44,B,3
13,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2015,False,97.27,B+,4
14,"Aubert Wines, Larry Hyde & Sons Vineyard Chardonnay, White, Carneros",6880,Carneros,White,dry,California,Usa,,2016,False,96.98,B+,3
15,"Peter Michael Winery, Point Rouge Chardonnay, White, Sonoma County",114834,Sonoma County,White,dry,California,Usa,,2015,False,95.69,C+,3
16,"Aubert Wines, Sugar Shack Estate Chardonnay, White, Napa Valley",6875,Napa Valley,White,dry,California,Usa,,2016,False,95.57,C+,3
17,"Pahlmeyer, Napa Valley Chardonnay, White, Napa Valley",111897,Napa Valley,White,dry,California,Usa,,2016,False,95.19,A+,4
18,"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,,2016,False,95.17,C,3
19,"Kongsgaard, Chardonnay, White, Napa Valley",91585,Napa Valley,White,dry,California,Usa,,2015,False,94.84,B,5
20,"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2016,False,94.12,B,3
21,"Peter Michael Winery, Mon Plaisir Chardonnay, White, Sonoma County",114832,Sonoma County,White,dry,California,Usa,,2016,False,94.12,B,3
22,"Martinelli, Lolita Ranch Chardonnay, White, Russian River Valley",102656,Russian River Valley,White,dry,California,Usa,,2007,False,91.83,A,4
23,"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,,2015,False,91.18,B,3
24,"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,,2015,False,94.72,B,4
25,"Peter Michael Winery, Mon Plaisir Chardonnay, White, Sonoma County",114832,Sonoma County,White,dry,California,Usa,,2015,False,93.96,C+,3
26,"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2015,False,93.31,C+,4
27,"Peter Michael Winery, La Carriere Chardonnay, White, Knights Valley",114826,Knights Valley,White,dry,California,Usa,,2015,False,92.93,B,4
28,"Peter Michael Winery, L'Apres-Midi Sauvignon Blanc, White, Knights Valley",114824,Knights Valley,White,dry,California,Usa,,2015,False,91.91,A,5
29,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2014,False,90.18,B+,5
30,"Evening Land, White Label 'Seven Springs Vineyard - Summum' Chardonnay, White, Eola-Amity Hills",71176,Eola-Amity Hills,White,dry,Oregon,Usa,,2014,False,94.15,B,4
31,"Evening Land, Gold Label Seven Springs Vineyard La Source Chardonnay, White, Eola-Amity Hills",71165,Eola-Amity Hills,White,dry,Oregon,Usa,,2014,False,92.88,B+,5
32,"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2016,False,90.82,C+,3
33,"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2015,False,92.87,B,3
34,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2011,False,90.46,B,4
35,"Stag'S Leap Wine Cellars, Karia Chardonnay, White, Napa Valley",129796,Napa Valley,White,dry,California,Usa,,2015,False,88.32,B+,5
36,"Ferrari-Carano, Dominique Vineyard Chardonnay, White, Russian River Valley",73116,Russian River Valley,White,dry,California,Usa,,2015,False,89.63,B+,3
37,"Ferrari-Carano, Fiorella Vineyard Chardonnay, White, Russian River Valley",73120,Russian River Valley,White,dry,California,Usa,,2015,False,89.22,B,3
38,"Ferrari-Carano, Emelia'S Cuvee Chardonnay, White, Russian River Valley",73119,Russian River Valley,White,dry,California,Usa,,2015,False,88.67,B,3
39,"Ferrari-Carano, Reserve Chardonnay, White, Carneros",73129,Carneros,White,dry,California,Usa,,2015,False,88.07,B,3
40,"Duckhorn Vineyards, Sauvignon Blanc, White, Napa Valley",68067,Napa Valley,White,dry,California,Usa,,2016,False,85.94,A,3
41,"Kenefick Ranch, Sauvignon Blanc, White, Napa Valley",90640,Napa Valley,White,dry,California,Usa,,2016,False,85.63,A+,3
42,"Ghost Block, Morgan Lee Vineyard Sauvignon Blanc, White, Yountville",78679,Yountville,White,dry,California,Usa,,2016,False,84.38,C,3
43,"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,,2015,False,95.41,B,3
44,"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,,2015,False,94.15,B+,3
45,"Paul Hobbs, Ross Station Estatechardonnay, White, Russian River Valley",113427,Russian River Valley,White,dry,California,Usa,,2015,False,93.42,A,3
46,"Paul Hobbs, Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113425,Sonoma Mountain,White,dry,California,Usa,,2015,False,93.24,B,4
47,"Paul Hobbs, Ellen Lane Estate Vineyard Chardonnay, White, Russian River Valley",113418,Russian River Valley,White,dry,California,Usa,,2015,False,93.14,B+,4
48,"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2015,False,90.97,A+,3
49,"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,,2015,False,89.83,A,3
50,"Clos Du Val, Winemaker'S Signature Series Three Graces White Blend, White, Napa Valley",43845,Napa Valley,White,dry,California,Usa,,2015,False,93.4,B,3
51,"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,,2014,False,90.88,B,4
52,"Beringer Vineyards, 'Luminus' Chardonnay, White, Oak Knoll District",10973,Oak Knoll District,White,dry,California,Usa,,2015,False,90.14,B,4
53,"Keever Vineyards, Sauvignon Blanc, White, Napa Valley",90457,Napa Valley,White,dry,California,Usa,,2016,False,88.37,B,3
54,"Stags' Leap Winery, Chardonnay, White, Napa Valley",129823,Napa Valley,White,dry,California,Usa,,2014,False,88.16,B,3
55,"Mount Eden Vineyards, Chardonnay, White, Santa Cruz Mountains",107658,Santa Cruz Mountains,White,dry,California,Usa,,2013,False,93.12,A,3
56,"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2015,False,91.63,B,4
57,"Keever Vineyards, Sauvignon Blanc, White, Napa Valley",90457,Napa Valley,White,dry,California,Usa,,2015,False,91.41,A+,3
58,"Joseph Phelps Vineyards, Sauvignon Blanc, White, Napa Valley",89580,Napa Valley,White,dry,California,Usa,,2015,False,91.33,B,3
59,"Flora Springs, Soliloquy Vineyard Sauvignon Blanc, White, Oakville",74748,Oakville,White,dry,California,Usa,,2015,False,89.3,B,3
60,"Kenefick Ranch, Sauvignon Blanc, White, Napa Valley",90640,Napa Valley,White,dry,California,Usa,,2015,False,88.51,B,4
61,"Duckhorn Vineyards, Sauvignon Blanc, White, Napa Valley",68067,Napa Valley,White,dry,California,Usa,,2015,False,88.34,B+,4
62,"Girard, Sauvignon Blanc, White, Napa Valley",79047,Napa Valley,White,dry,California,Usa,,2015,False,87.55,B+,4
63,"Rombauer Vineyards, Sauvignon Blanc, White, Napa Valley",122382,Napa Valley,White,dry,California,Usa,,2016,False,87.29,B,3
64,"Clos Du Val, Winemaker'S Signature Series Three Graces White Blend, White, Napa Valley",43845,Napa Valley,White,dry,California,Usa,,2014,False,90.61,C,3
65,"Peter Michael Winery, Cuvee Indigene Chardonnay, White, Sonoma County",114823,Sonoma County,White,dry,California,Usa,,2014,False,94.83,B,3
66,"Aubert Wines, Ritchie Vineyard Chardonnay, White, Sonoma Coast",6887,Sonoma Coast,White,dry,California,Usa,,2015,False,97.43,A+,3
67,"Aubert Wines, Uv-Sl Vineyards Chardonnay, White, Sonoma Coast",6893,Sonoma Coast,White,dry,California,Usa,,2015,False,97.22,B,4
