date,avgMaxTempNapa,avgMinTempNapa,avgPRCPNapa
1985-01-01,59.0,29.0,0.0
1985-01-02,54.0,31.0,0.0
1985-01-03,57.0,29.0,0.0
1985-01-04,57.0,29.0,0.0
1985-01-05,55.0,29.0,0.0
1985-01-06,54.0,54.0,0.0
1985-01-07,55.0,41.0,0.43
1985-01-08,48.0,37.0,0.47
1985-01-09,53.0,38.0,0.1
1985-01-10,49.0,37.0,0.35
1985-01-11,57.0,32.0,0.02
1985-01-12,51.0,31.0,0.0
1985-01-13,55.0,28.0,0.0
1985-01-14,52.0,30.0,0.0
1985-01-15,51.0,31.0,0.0
1985-01-16,49.0,32.0,0.0
1985-01-17,53.0,32.0,0.0
1985-01-18,59.0,29.0,0.0
1985-01-19,53.0,30.0,0.0
1985-01-20,51.0,30.0,0.0
1985-01-21,46.0,31.0,0.0
1985-01-22,47.0,32.0,0.0
1985-01-23,48.0,31.0,0.0
1985-01-24,46.0,28.0,0.0
1985-01-25,43.0,28.0,0.0
1985-01-26,45.0,39.0,0.02
1985-01-27,52.0,31.0,0.0
1985-01-28,55.0,36.0,0.0
1985-01-29,47.0,31.0,0.24
1985-01-30,54.0,27.0,0.0
1985-01-31,50.0,28.0,0.0
1985-02-01,59.0,28.0,0.0
1985-02-02,55.0,28.0,0.03
1985-02-03,53.0,26.0,0.0
1985-02-04,51.0,32.0,0.0
1985-02-05,53.0,29.0,0.0
1985-02-06,52.0,26.0,0.0
1985-02-07,49.0,26.0,0.12
1985-02-08,54.0,30.0,3.32
1985-02-09,57.0,28.0,0.0
1985-02-10,50.0,28.0,0.0
1985-02-11,53.0,29.0,0.0
1985-02-12,51.0,31.0,0.0
1985-02-13,65.0,36.0,0.0
1985-02-14,68.0,32.0,0.0
1985-02-15,68.0,37.0,0.0
1985-02-16,69.0,39.0,0.0
1985-02-17,72.0,38.0,0.0
1985-02-18,69.0,35.0,0.0
1985-02-19,70.0,36.0,0.0
1985-02-20,68.0,35.0,0.0
1985-02-21,61.0,46.0,0.0
1985-02-22,74.0,47.0,0.0
1985-02-23,75.0,47.0,0.0
1985-02-24,75.0,38.0,0.0
1985-02-25,68.0,38.0,0.0
1985-02-26,73.0,38.0,0.0
1985-02-27,68.0,40.0,0.0
1985-03-01,76.0,36.0,0.0
1985-03-02,59.0,40.0,0.0
1985-03-03,54.0,34.0,0.0
1985-03-04,62.0,39.0,0.13
1985-03-05,57.0,34.0,0.01
1985-03-06,47.0,39.0,0.52
1985-03-07,49.0,36.0,0.76
1985-03-08,55.0,32.0,0.02
1985-03-09,56.0,32.0,0.0
1985-03-10,64.0,36.0,0.11
1985-03-11,56.0,38.0,0.3
1985-03-12,63.0,39.0,0.0
1985-03-13,59.0,34.0,0.0
1985-03-14,66.0,36.0,0.0
1985-03-15,73.0,37.0,0.0
1985-03-16,68.0,41.0,0.0
1985-03-17,62.0,37.0,0.0
1985-03-18,57.0,43.0,0.34
1985-03-19,60.0,41.0,0.0
1985-03-20,67.0,41.0,0.0
1985-03-21,69.0,35.0,0.0
1985-03-22,65.0,36.0,0.0
1985-03-23,68.0,38.0,0.0
1985-03-24,62.0,43.0,0.0
1985-03-25,59.0,32.0,0.03
1985-03-26,56.0,33.0,0.06
1985-03-27,57.0,36.0,1.72
1985-03-28,52.0,33.0,0.26
1985-03-29,56.0,33.0,0.04
1985-03-30,63.0,38.0,0.0
1985-03-31,71.0,43.0,0.0
1985-04-01,79.0,43.0,0.0
1985-04-02,80.0,44.0,0.0
1985-04-03,80.0,47.0,0.0
1985-04-04,85.0,53.0,0.0
1985-04-05,80.0,51.0,0.0
1985-04-06,83.0,44.0,0.0
1985-04-07,76.0,43.0,0.0
1985-04-08,74.0,46.0,0.0
1985-04-09,81.0,46.0,0.0
1985-04-10,81.0,45.0,0.0
1985-04-11,70.0,48.0,0.0
1985-04-12,73.0,45.0,0.0
1985-04-13,84.0,47.0,0.0
1985-04-14,87.0,52.0,0.0
1985-04-15,91.0,50.0,0.0
1985-04-16,65.0,45.0,0.0
1985-04-17,67.0,45.0,0.0
1985-04-18,66.0,43.0,0.0
1985-04-19,70.0,41.0,0.0
1985-04-20,64.0,44.0,0.0
1985-04-21,60.0,47.0,0.0
1985-04-22,62.0,40.0,0.0
1985-04-23,72.0,45.0,0.0
1985-04-24,76.0,42.0,0.0
1985-04-25,76.0,43.0,0.0
1985-04-26,67.0,38.0,0.0
1985-04-27,76.0,52.0,0.0
1985-04-28,84.0,42.0,0.0
1985-04-29,77.0,47.0,0.0
1985-04-30,80.0,46.0,0.0
1985-05-01,84.0,44.0,0.0
1985-05-02,85.0,50.0,0.0
1985-05-03,77.0,47.0,0.0
1985-05-04,75.0,43.0,0.0
1985-05-05,80.0,43.0,0.0
1985-05-06,83.0,46.0,0.0
1985-05-07,71.0,40.0,0.0
1985-05-08,72.0,40.0,0.0
1985-05-09,74.0,40.0,0.0
1985-05-10,72.0,44.0,0.0
1985-05-11,66.0,41.0,0.0
1985-05-12,73.0,43.0,0.0
1985-05-13,81.0,45.0,0.0
1985-05-14,87.0,48.0,0.0
1985-05-15,82.0,48.0,0.0
1985-05-16,84.0,49.0,0.0
1985-05-17,70.0,43.0,0.0
1985-05-18,70.0,42.0,0.0
1985-05-19,80.0,48.0,0.0
1985-05-20,83.0,47.0,0.0
1985-05-21,82.0,50.0,0.0
1985-05-22,90.0,51.0,0.0
1985-05-23,92.0,56.0,0.0
1985-05-24,84.0,51.0,0.0
1985-05-25,84.0,47.0,0.0
1985-05-26,75.0,50.0,0.0
1985-05-27,64.0,51.0,0.0
1985-05-28,68.0,50.0,0.0
1985-05-29,62.0,40.0,0.0
1985-05-30,73.0,45.0,0.0
1985-05-31,77.0,53.0,0.0
1985-06-01,69.0,44.0,0.0
1985-06-02,69.0,48.0,0.07
1985-06-03,74.0,49.0,0.0
1985-06-04,85.0,57.0,0.0
1985-06-05,86.0,55.0,0.0
1985-06-06,87.0,56.0,0.0
1985-06-07,93.0,59.0,0.0
1985-06-08,90.0,58.0,0.0
1985-06-09,93.0,57.0,0.0
1985-06-10,99.0,60.0,0.0
1985-06-11,102.0,61.0,0.0
1985-06-12,105.0,60.0,0.0
1985-06-13,100.0,59.0,0.0
1985-06-14,103.0,64.0,0.0
1985-06-15,101.0,65.0,0.0
1985-06-16,104.0,63.0,0.0
1985-06-17,103.0,62.0,0.0
1985-06-18,95.0,57.0,0.0
1985-06-19,100.0,55.0,0.0
1985-06-20,87.0,53.0,0.0
1985-06-21,90.0,58.0,0.0
1985-06-22,87.0,55.0,0.0
1985-06-23,83.0,51.0,0.0
1985-06-24,93.0,51.0,0.0
1985-06-25,87.0,58.0,0.0
1985-06-26,94.0,57.0,0.0
1985-06-27,97.0,55.0,0.0
1985-06-28,98.0,56.0,0.0
1985-06-29,95.0,53.0,0.0
1985-06-30,85.0,49.0,0.0
1985-07-01,89.0,55.0,0.0
1985-07-02,100.0,59.0,0.0
